Online MMD
./checkpoints/proto_ppg_percentile_group_layer_norm_kq_4/proto_ppg_percentile_group_layer_norm_kq_4-Proto-2026_05_14-21_57_34/mmd_calibration_results_with_weighted_scores.csv
    calibration_phase_size  n_bootstraps  ert_target  window_size  avg_sbp_ae
0                       16           500          16            2    3.044526
1                       16           500          16            4    4.918643
2                       16           500          32            2    4.156056
3                       16           500          32            4    5.936279
4                       16           500          64            2    2.798812
5                       16           500          64            4    4.808551
6                       16          1000          16            2    5.338037
7                       16          1000          16            4    4.068925
8                       16          1000          32            2    4.097626
9                       16          1000          32            4    5.645341
10                      16          1000          64            2    4.949866
11                      16          1000          64            4    4.764345
12                      32           500          16            2    3.903633
13                      32           500          16            4    3.918923
14                      32           500          32            2    4.037367
15                      32           500          32            4    4.187904
16                      32           500          32            8    2.751708
17                      32           500          64            2    3.915052
18                      32           500          64            4    3.493562
19                      32           500          64            8    3.856639
20                      32          1000          16            2    3.480372
21                      32          1000          16            4    3.824441
22                      32          1000          32            2    5.101112
23                      32          1000          32            4    2.983228
24                      32          1000          32            8    5.107131
25                      32          1000          64            2    3.920729
26                      32          1000          64            4    3.660742
27                      32          1000          64            8    3.681659
28                      64           500          16            2    3.184640
29                      64           500          16            4    3.931551
30                      64           500          32            2    5.674473
31                      64           500          32            4    3.199638
32                      64           500          32            8    3.430929
33                      64           500          64            2    2.718259
34                      64           500          64            4    5.643578
35                      64           500          64            8    4.971342
36                      64          1000          16            2    4.195477
37                      64          1000          16            4    4.039387
38                      64          1000          32            2    3.307819
39                      64          1000          32            4    4.709296
40                      64          1000          32            8    6.149863
41                      64          1000          64            2    4.095792
42                      64          1000          64            4    3.111103
43                      64          1000          64            8    4.212851
./checkpoints/proto_ppg_percentile_group_layer_norm_kq_4_seed_40/proto_ppg_percentile_group_layer_norm_kq_4_seed_40-Proto-2026_05_17-10_53_46/mmd_calibration_results_with_weighted_scores.csv
    calibration_phase_size  n_bootstraps  ert_target  window_size  avg_sbp_ae
0                       16           500          16            2    3.965698
1                       16           500          16            4    3.560113
2                       16           500          32            2    5.799387
3                       16           500          32            4    4.552868
4                       16           500          64            2    5.915780
5                       16           500          64            4    3.355263
6                       16          1000          16            2    4.787395
7                       16          1000          16            4    3.981787
8                       16          1000          32            2    3.830468
9                       16          1000          32            4    5.619294
10                      16          1000          64            2    3.998399
11                      16          1000          64            4    3.307390
12                      32           500          16            2    4.040086
13                      32           500          16            4    4.360410
14                      32           500          32            2    3.371423
15                      32           500          32            4    6.664395
16                      32           500          32            8    4.413892
17                      32           500          64            2    5.114561
18                      32           500          64            4    3.354017
19                      32           500          64            8    4.467803
20                      32          1000          16            2    4.502382
21                      32          1000          16            4    5.355436
22                      32          1000          32            2    4.137596
23                      32          1000          32            4    3.757498
24                      32          1000          32            8    4.159676
25                      32          1000          64            2    3.568863
26                      32          1000          64            4    4.398568
27                      32          1000          64            8    3.377594
28                      64           500          16            2    4.499960
29                      64           500          16            4    6.631094
30                      64           500          32            2    4.384028
31                      64           500          32            4    4.174531
32                      64           500          32            8    4.058895
33                      64           500          64            2    5.042201
34                      64           500          64            4    5.096528
35                      64           500          64            8    3.588346
36                      64          1000          16            2    3.979439
37                      64          1000          16            4    4.361459
38                      64          1000          32            2    3.987936
39                      64          1000          32            4    2.909091
40                      64          1000          32            8    3.898714
41                      64          1000          64            2    3.847387
42                      64          1000          64            4    3.243434
43                      64          1000          64            8    5.261302
./checkpoints/proto_ppg_percentile_group_layer_norm_kq_4_seed_41/proto_ppg_percentile_group_layer_norm_kq_4_seed_41-Proto-2026_05_17-12_44_45/mmd_calibration_results_with_weighted_scores.csv
    calibration_phase_size  n_bootstraps  ert_target  window_size  avg_sbp_ae
0                       16           500          16            2    5.286173
1                       16           500          16            4    6.057222
2                       16           500          32            2    7.228239
3                       16           500          32            4    4.064202
4                       16           500          64            2    7.467585
5                       16           500          64            4    7.339031
6                       16          1000          16            2    6.116856
7                       16          1000          16            4    4.068079
8                       16          1000          32            2    6.102603
9                       16          1000          32            4    6.781828
10                      16          1000          64            2    4.042093
11                      16          1000          64            4    4.750760
12                      32           500          16            2    3.246834
13                      32           500          16            4    5.147267
14                      32           500          32            2    6.896242
15                      32           500          32            4    4.269156
16                      32           500          32            8    4.526738
17                      32           500          64            2    3.426080
18                      32           500          64            4    5.084382
19                      32           500          64            8    4.414038
20                      32          1000          16            2    5.939738
21                      32          1000          16            4    4.053753
22                      32          1000          32            2    5.396470
23                      32          1000          32            4    4.759427
24                      32          1000          32            8    5.103996
25                      32          1000          64            2    3.668138
26                      32          1000          64            4    3.578285
27                      32          1000          64            8    3.108963
28                      64           500          16            2    4.069966
29                      64           500          16            4    4.495904
30                      64           500          32            2    5.128393
31                      64           500          32            4    4.299746
32                      64           500          32            8    6.137504
33                      64           500          64            2    4.731317
34                      64           500          64            4    4.124584
35                      64           500          64            8    7.045665
36                      64          1000          16            2    3.651254
37                      64          1000          16            4    4.774378
38                      64          1000          32            2    3.137767
39                      64          1000          32            4    5.522469
40                      64          1000          32            8    5.740957
41                      64          1000          64            2    6.075928
42                      64          1000          64            4    4.566263
43                      64          1000          64            8    2.877850
Online LSDD
./checkpoints/proto_ppg_percentile_group_layer_norm_kq_4/proto_ppg_percentile_group_layer_norm_kq_4-Proto-2026_05_14-21_57_34/lsdd_calibration_results_with_weighted_scores.csv
    calibration_phase_size  n_bootstraps  ert_target  window_size  avg_sbp_ae
0                       16           500          16            2    4.075002
1                       16           500          16            4    3.954445
2                       16           500          32            2    3.759363
3                       16           500          32            4    3.879438
4                       16           500          64            2    6.020685
5                       16           500          64            4    6.881182
6                       16          1000          16            2    6.091104
7                       16          1000          16            4    4.578940
8                       16          1000          32            2    6.261689
9                       16          1000          32            4    4.347938
10                      16          1000          64            2    6.617978
11                      16          1000          64            4    3.750162
12                      32           500          16            2    4.265065
13                      32           500          16            4    4.556057
14                      32           500          32            2    3.679077
15                      32           500          32            4    5.134248
16                      32           500          32            8    4.743975
17                      32           500          64            2    4.184184
